ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1466062028,145,2153179931,34741554,17658,6921043,26977070,21839842,6811857,5350355,69039062,69038449,36725283,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1466260998,145,2153192455,34741570,17658,6921043,26977085,21840207,6811932,5350355,69039437,69038824,36725404,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1466634178,145,2153221465,34741583,17658,6921043,26977098,21840591,6812049,5350355,69039668,69039055,36725504,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1466821602,145,2153240254,34741604,17658,6921043,26977121,21840859,6812130,5350355,69039893,69039280,36725606,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1467011461,145,2153253041,34741630,17658,6921043,26977146,21841200,6812241,5350355,69040265,69039652,36725744,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1467427002,145,2153391200,34741743,17658,6921043,26977298,21841536,6812374,5350355,69040643,69040030,36726013,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1467641582,145,2153431153,34741821,17658,6921043,26977394,21841915,6812488,5350355,69041079,69040466,36726199,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1468027357,145,2153495874,34741859,17658,6921045,26977448,21842114,6812570,5350355,69041311,69040698,36726322,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1468232602,145,2153579957,34741912,17658,6921045,26977535,21842490,6812699,5350355,69041738,69041125,36726527,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1468622996,145,2153633577,34741943,17659,6921045,26977581,21842702,6812806,5350355,69041990,69041377,36726681,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1468829614,145,2153682824,34742182,17660,6921059,26977839,21843064,6812947,5350355,69042589,69041976,36727064,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1469266391,145,2153904471,34742484,17663,6921059,26978200,21843306,6813066,5350355,69043150,69042537,36727517,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1469706455,145,2154006165,34742673,17664,6921059,26978370,21843760,6813269,5350355,69043793,69043180,36727896,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1469915202,145,2154038604,34742813,17681,6921059,26978508,21844238,6813390,5350355,69044298,69043685,36728178,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1470321303,145,2154159488,34742878,17683,6921059,26978574,21844880,6813796,5350355,69045075,69044462,36728671,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1474278475,145,2154332984,34742896,17683,6921059,26978593,21849437,6815125,5350355,69049848,69049235,36730042,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1477686650,145,2154458945,34742958,17683,6921059,26978657,21851732,6815714,5350355,69051888,69051275,36730618,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1478163033,145,2154525219,34743023,17683,6921059,26978719,21852108,6815829,5350355,69052312,69051699,36730791,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1479339984,145,2154588158,34743042,17683,6921059,26978739,21853149,6816085,5350355,69053389,69052776,36731080,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1479726604,145,2154630616,34743092,17685,6921059,26978791,21853361,6816173,5350355,69053791,69053178,36731238,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1480146536,145,2154684427,34743130,17685,6921059,26978829,21854154,6816323,5350355,69054124,69053511,36731410,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1480547879,145,2154904996,34743169,17685,6921059,26978864,21854735,6816668,5350355,69054776,69054163,36731798,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1481114672,145,2154930523,34743187,17686,6921059,26978885,21855153,6816796,5350355,69055155,69054542,36731933,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
587979922,23,345572975,15354742,7915,5614417,9563921,1407623,338062,7944403,40539504,40536465,21825346,0,0,727,15795277,7943155,7944405,0,3925436,3925436,normal
587982638,23,392341185,16285174,9598,5621599,10488845,1407671,338130,7944403,41462256,41459217,22742940,0,0,727,15795279,7943157,7944407,0,3925436,3925436,normal
588037338,23,415121746,16674312,11000,5624607,10876361,1407894,338238,7966561,41850847,41847808,23075478,0,0,54966,15795784,7943662,7944912,0,3925436,3925436,slowloris
588063709,23,474911627,16674353,11264,5624607,10876661,1407949,338284,9426646,43313361,43310323,23370080,0,0,1218520,15800498,7948375,7949626,0,3925436,3925436,slowloris
588079525,23,532418386,16674389,11462,5624609,10876890,1407997,338336,10938268,44821422,44818384,23649232,0,0,2443235,15804837,7952713,7953965,0,3925436,3925436,slowloris
588087168,23,552043943,16674426,11463,5624609,10876924,1408059,338390,11278093,45123663,45120625,23697196,0,0,2696732,15805345,7953221,7954473,0,3925436,3925436,slowloris
588097512,23,552061587,16674458,11464,5624609,10876956,1408110,338440,11278093,45123748,45120710,23697278,0,0,2696732,15805345,7953221,7954473,0,3925436,3925436,normal
